city,cloudiness,country,date,humidity,lats,lngs,maxtemp,windspeed
Faanui,0,PF,08/24/2019,65,-16.48,-151.75,78.42,7.45
Klaksvik,34,FO,08/24/2019,93,62.23,-6.59,51.8,3.36
Carnarvon,0,ZA,08/24/2019,28,-30.97,22.13,52.37,7.56
Mweka,35,CD,08/24/2019,33,-4.85,21.56,71.99,3.02
New Norfolk,75,AU,08/24/2019,50,-42.78,147.06,52,11.41
Port Elizabeth,20,US,08/24/2019,87,39.31,-74.98,72,3.4
Saint-Philippe,1,CA,08/24/2019,93,45.36,-73.48,64.99,5.82
Aqtobe,0,KZ,08/24/2019,54,50.28,57.21,55.4,4.47
Arraial do Cabo,86,BR,08/24/2019,81,-22.97,-42.02,66.9,4.76
Lavrentiya,61,RU,08/24/2019,51,65.58,-170.99,58.89,9.6
Vaini,40,IN,08/24/2019,94,15.34,74.49,69.8,4.7
Karratha,10,AU,08/24/2019,15,-20.74,116.85,84.75,1.77
Hermanus,1,ZA,08/24/2019,85,-34.42,19.24,55.99,7
Avarua,88,CK,08/24/2019,74,-21.21,-159.78,78.8,11.41
Cape Town,40,ZA,08/24/2019,93,-33.93,18.42,57.99,10.29
Palora,69,EC,08/24/2019,73,-1.7,-77.97,62.54,3.74
Rikitea,64,PF,08/24/2019,69,-23.12,-134.97,70.25,21.27
Butaritari,81,KI,08/24/2019,68,3.07,172.79,84.92,6.91
Chokurdakh,100,RU,08/24/2019,85,70.62,147.9,56.82,4.34
Mataura,100,NZ,08/24/2019,96,-46.19,168.86,48,4
Esperance,100,AU,08/24/2019,66,-33.86,121.89,51.8,8.05
Shenjiamen,100,CN,08/24/2019,83,29.96,122.3,83.71,17.96
East London,0,ZA,08/24/2019,36,-33.02,27.91,60.31,4.47
Timmins,40,CA,08/24/2019,76,48.48,-81.33,53.6,4.43
Ushuaia,40,AR,08/24/2019,70,-54.81,-68.31,42.8,3.36
Kodiak,90,US,08/24/2019,73,39.95,-94.76,70,10.29
Ribeira Grande,5,PT,08/24/2019,79,38.52,-28.7,69.51,15.35
Trelew,67,AR,08/24/2019,53,-43.25,-65.31,54.44,18.05
Busselton,0,AU,08/24/2019,43,-33.64,115.35,62.01,8.3
Sivas,40,TR,08/24/2019,93,39.75,37.01,52,2.24
